glyph	on_yomi	kun_yomi	meaning_en	meaning_hi	stroke_count	radical	mnemonic_summary	mnemonic_visual	mnemonic_reading	etymology_origin	etymology_story
手	しゅ	て	hand	हाथ	4	手	Five fingers spreading from a wrist = HAND.	A hand with three fingers and a thumb — HAND raised.	しゅ / て — 手 (te, hand) — direct and frequent. On しゅ in 手段 (shudan, method).		
足	そく	あし	foot, leg	पैर, टांग	7	足	Mouth-shape (口) over stop (止) = FOOT (where you stop).	Top mouth + bottom path — using your FEET to walk and TALK.	そく / あし / た — 足 (ashi, foot/leg). 足りる (tariru, to be enough).		
目	もく	め	eye	आँख	5	目	A vertical eye with pupil-bars = EYE.	A vertical eye, the iris in the middle — EYE rotated 90°.	もく / め — Kun め: 目 (me, eye), very common. 目的 (mokuteki, purpose) for the on.		
口	こう	くち	mouth	मुँह	3	口	A square opening = MOUTH.	A square box opening — an open MOUTH.	こう / くち / ぐち — 入り口 (iriguchi, entrance), 人口 (jinkou, population).		
力	りょく, りき	ちから	power, strength	शक्ति, बल	2	力	A flexed arm muscle = POWER.	A bicep flexed — pure muscle POWER.	りょく / ちから — 力 (chikara, strength). 体力 (tairyoku, physical strength).		
学	がく	まな	study, learning	पढ़ाई, सीख	8	子	A child (子) under a roof (冖) with knowledge crowning down = STUDY.	A roof over a child reaching for knowledge — STUDYING under a school.	がく / まな — 学校 (gakkou, school), 学生 (gakusei, student). Kun まな: 学ぶ (manabu).		
校	こう		school	विद्यालय	10	木	Tree (木) where people meet (交) = SCHOOL.	Tree (木) + 交 cross — buildings made of wood standing in CROSSED rows: a SCHOOL campus.	こう — 学校 (gakkou). Always こう.		
本	ほん	もと	book, origin, main	किताब, मूल, पुस्तक-काउंटर	5	木	A line at the root of a tree (木) = ORIGIN / book.	A tree (木) with a bar at the base — the ROOT of the tree, the ORIGIN, a BOOK at its core.	ほん / もと / ぼん / ぽん — 日本 (Nihon, Japan), 本 (hon, book). Kun もと: 本 (moto, origin).		
語	ご	かた	language, word	भाषा, शब्द	14	言	Speech (言) of myself (吾) = LANGUAGE.	Speech (言) + 五 five + 口 mouth — five mouths SPEAKING a LANGUAGE.	ご — 日本語 (nihongo), 英語 (eigo). Always ご.		
国	こく	くに	country	देश	8	囗	A jewel (玉) inside borders (囗) = COUNTRY.	Border (囗) around 玉 jade — a COUNTRY is a treasure surrounded by a border.	こく / ごく / くに — 国 (kuni, country). 中国 (chuugoku, China).		
会	かい, え	あ	meeting, association	मिलना, सभा	6	人	People (人) gathering in clouds (云) = MEET.	A roof over 云 cloud — people MEETING under a roof, MEETING at the cloud level.	かい / あ — 会社 (kaisha, company), 会議 (kaigi, meeting). Kun あ: 会う (au, to meet).		
社	しゃ		company	कंपनी	7	礻	Altar (礻) on the earth (土) where people gather = COMPANY / shrine.	Spirit altar (示) + 土 earth — the COMPANY shrine where workers pray to the earth-god.	しゃ — 会社 (kaisha, company), 社員 (shain, employee). Always しゃ.		
員	いん		member, staff	सदस्य, कर्मचारी	10	口	Mouth (口) over shell-money (貝) - a paid speaker = MEMBER / employee.	Mouth (口) over 貝 shell-money — the MEMBER who counts shells with mouth open.	いん — 会社員 (kaishain), 駅員 (ekiin, station-staff), 店員 (tenin, shop clerk).		
大	だい, たい	おお	big, large	बड़ा, महान	3	大	A person with arms stretched wide = BIG.	A person (人) with arms outstretched — "It was THIS BIG!"	だい / たい / おお — 大学 (daigaku, university), 大きい (ookii, big).		
中	ちゅう	なか	middle, inside	मध्य, भीतर	4	丨	A line through the middle of a box = MIDDLE.	A box with a vertical line piercing through the MIDDLE — bull's eye.	ちゅう / なか — 中国 (chuugoku, China), 中 (naka, inside).		
小	しょう	ちい, こ-, お-	small, little	छोटा, थोड़ा	3	小	Three small specks scattered = SMALL.	A central stroke with two flecks — SMALL grains of rice on either side.	しょう / ちい / こ / お — 小さい (chiisai, small), 小学校 (shougakkou, primary school).		
上	じょう	うえ, あ	up, above	ऊपर, चढ़ना	3	一	A mark above the baseline = UP.	A bar above the ground line — UP, ABOVE.	じょう / うえ / あ / のぼ — 上 (ue, above), 上手 (jouzu, skilled), 上る (noboru, to climb).		
下	か, げ	した, さ	down, below	नीचे, उतरना	3	一	A mark below the baseline = DOWN.	A bar below the ground line — DOWN, BELOW.	か / げ / した / さ / お — 下 (shita, below), 地下 (chika, underground).		
左	さ	ひだり	left	बायाँ	5	工	A hand (ナ) holding a tool (工) - natural left-hand grip = LEFT.	A hand sweeping left over a workbench — your LEFT hand at the workshop.	さ / ひだり — 左 (hidari, left). 左右 (sayuu, left and right).		
右	う, ゆう	みぎ	right	दायाँ	5	口	A hand (ナ) over a mouth (口) - natural right-hand bite = RIGHT.	A hand bringing food to the mouth — your RIGHT hand eats for you.	ゆう / う / みぎ — 右 (migi, right). 右側 (migigawa, right side).		
前	ぜん	まえ	before, front	आगे, पहले	9	刂	In FRONT, knife (刂) ready, sharing meat (月) with a smile (丷一).	Horns (or a moon) in BEFORE-sky — what comes BEFORE.	ぜん / まえ — 前 (mae, in front). 午前 (gozen, AM), 前回 (zenkai, previous time).	compound_ideograph	止 (foot) above a boat (舟) — originally "to advance / go forward." Came to mean "front / in front" and "before (in time)."
後	ご, こう	うし, あと, のち	after, behind	पीछे, बाद	9	彳	A traveler (彳) trailing behind = AFTER.	Walking radical + thread + bottom — the THREAD comes BEHIND on the path.	ご / こう / あと / うし / おく — 後 (ato, after). 午後 (gogo, PM), 後ろ (ushiro, behind).		
外	がい	そと	outside	बाहर	5	夕	Evening (夕) divination (卜) - done OUTSIDE the home.	Evening (夕) + divination (卜) — fortune-telling done OUTSIDE.	がい / げ / そと / ほか — 外国 (gaikoku, foreign country), 外 (soto, outside).		
東	とう	ひがし	east	पूर्व	8	木	Sun (日) rising behind a tree (木) = EAST.	Sun (日) caught in a tree (木) — the sun rising in the EAST through the trees.	とう / ひがし — 東京 (Toukyou, Tokyo, "Eastern capital"). Kun ひがし: 東 (higashi).		
西	せい, さい	にし	west	पश्चिम	6	襾	A bird returning to its nest at sunset = WEST.	A bird-cage at sunset — birds returning to the cage in the WEST.	せい / さい / にし — 西 (nishi, west). 西洋 (seiyou, the West/Western).		
南	なん	みなみ	south	दक्षिण	9	十	A bell-shape facing the warm sun direction = SOUTH.	A roof, a samurai banner — banners flying SOUTH in summer wind.	なん / みなみ — 南 (minami, south). 南極 (nankyoku, Antarctica).		
北	ほく	きた	north	उत्तर	5	匕	Two figures back-to-back facing away from the cold = NORTH.	Two figures back-to-back — turning their backs to the cold NORTH wind.	ほく / きた — 北 (kita, north). 東北 (Touhoku, the northeast region).		
間	かん, けん	あいだ, ま	interval, between, space	बीच, अंतराल, स्थान	12	門	Sun (日) shining through a gate (門) = INTERVAL / between.	Gate (門) with sun (日) inside — the SPACE BETWEEN two walls where light enters.	かん / けん / あいだ / ま — 時間 (jikan, time-space), 間 (aida, between).		
山	さん	やま	mountain	पहाड़	3	山	Three peaks of a MOUNTAIN range.	Three peaks rising in a row — MOUNTAIN ridge.	さん / やま — 富士山 (Fujisan, Mt. Fuji), 山 (yama, mountain).		
川	せん	かわ	river	नदी	3	川	Three flowing lines of a RIVER.	Three flowing vertical strokes — water FLOWING DOWN a RIVER.	せん / かわ / がわ — 川 (kawa, river). 川辺 (kawabe, riverside).		
田	でん	た	rice field	धान का खेत	5	田	A grid of irrigation channels = RICE PADDY.	A grid of four rice paddies — RICE FIELDS divided by levees.	でん / た / だ — common in surnames: 田中 (Tanaka), 山田 (Yamada).		
雨	う	あめ	rain	बारिश	8	雨	Drops falling from a cloud-shaped roof = RAIN.	A roof with four drops falling — RAIN coming down outside.	う / あめ — 雨 (ame, rain). 大雨 (ooame, heavy rain).		
天	てん	あめ, あま-	heaven, sky	स्वर्ग, आकाश	4	大	The biggest thing (大) under the line (一) = HEAVEN / sky.	A person (大) reaching above — touching the SKY/HEAVENS.	てん / あま / あめ — 天気 (tenki, weather), 天才 (tensai, genius).		
気	き, け		spirit, mood, air	भावना, मनःस्थिति, हवा	6	气	Steam (气) rising = SPIRIT / mood / air.	Steam rising — the air ENERGY surrounding things.	き / け — 元気 (genki, energetic), 天気 (tenki, weather), 病気 (byouki, sickness).		
花	か	はな	flower	फूल	7	艹	Grass (艹) transforming (化) = FLOWER.	Grass (艹) + 化 change — a sprout CHANGED into a FLOWER.	か / はな — 花 (hana, flower). 花見 (hanami, flower viewing).		
空	くう	そら, あ, から	sky, empty	आकाश, खाली	8	穴	A cave (穴) of work (工) - empty above = SKY / empty.	Cave (穴) + 工 work — the EMPTY SKY carved out above.	くう / そら / から / あ — 空 (sora, sky), 空気 (kuuki, air), 空く (aku, to become empty).		
電	でん		electricity	बिजली	13	雨	Rain (雨) hitting a paddy (田) - lightning = ELECTRICITY.	Rain (雨) + 田 lightning streak — ELECTRICITY: lightning in the rain.	でん — 電車 (densha, train), 電話 (denwa, phone), 電気 (denki, electricity).		
車	しゃ	くるま	car, vehicle	गाड़ी, वाहन	7	車	A wheel with axle and bed = VEHICLE / car.	A wagon viewed from above — the body and two wheels of a CAR.	しゃ / くるま — 自動車 (jidousha, automobile), 車 (kuruma, car).		
道	どう	みち	road, way	सड़क, रास्ता	12	辶	Walking (辶) with one's head (首) up = ROAD / way.	Walking radical + neck (首) — keeping your NECK aimed at the ROAD ahead.	どう / みち — 道 (michi, road), 北海道 (Hokkaidou). 茶道 (sadou, tea ceremony "way").		
店	てん	みせ	shop, store	दुकान, स्टोर	8	广	Under a roof (广), claim a spot (占) = SHOP.	Shed (广) + 占 fortune — fortune-tellers SET UP SHOP under a roof.	てん / みせ — 店 (mise, shop). 店員 (tenin, shop clerk), 喫茶店 (kissaten, café).		
駅	えき		station	स्टेशन	14	馬	Horse (馬) measured (尺) - a relay STATION.	Horse (馬) + 尺 measure — STATIONS are where horses were measured/changed.	えき — 駅 (eki, station). 東京駅 (Toukyou-eki). Always えき.		
食	しょく	た, く	eat, food	खाना, भोजन	9	食	A roof over good things to eat = EAT.	A roof over rice — sheltering the FOOD beneath.	しょく / く / た — 食べる (taberu, to eat), 食事 (shokuji, meal).		
飲	いん	の	drink	पीना	12	食	Food (飠) and a yawn (欠) - DRINK to wash it down.	Eat-radical (食) + 欠 lack — you lack water, so you DRINK.	いん / の — 飲む (nomu, to drink), 飲み物 (nomimono, drink).		
見	けん	み	see, look	देखना, दिखाना	7	見	Eye (目) on legs (儿) - looking around = SEE.	An eye (目) on legs (儿) — eyes that walk around to SEE everything.	けん / み — 見る (miru, to see/watch). 意見 (iken, opinion).		
聞	ぶん, もん	き	hear, listen, ask	सुनना, ध्यान देना, पूछना	14	門	Ear (耳) at the gate (門) = HEAR.	Gate (門) + ear (耳) — putting your EAR to the GATE to LISTEN.	ぶん / もん / き — 聞く (kiku, to listen/ask). 新聞 (shinbun, newspaper).		
読	どく	よ	read	पढ़ना	14	言	Speech (言) selling (売) ideas = READ.	Speech (言) + 売 sell — READING ALOUD to sell the words to the audience.	どく / よ — 読む (yomu, to read). 読書 (dokusho, reading books).		
書	しょ	か	write	लिखना	10	日	A brush over a writing surface in daylight = WRITE / book.	Brush (聿) + 日 page — a BRUSH WRITING on the page.	しょ / か — 書く (kaku, to write). 図書館 (toshokan, library).		
話	わ	はな, はなし	talk, speak, story	बोलना, बात करना, कहानी	13	言	Speech (言) using the tongue (舌) = TALK / story.	Speech (言) + tongue (舌) — words spoken with the tongue: TALK.	わ / はな — 話す (hanasu, to talk). 電話 (denwa, phone), 会話 (kaiwa, conversation).		
来	らい	く, きた	come	आना	7	木	Like a tree growing toward you = COME.	A person (人) under a tree — COME under the shade.	らい / く / き / こ — 来る (kuru, to come). 来週 (raishuu, next week).		
行	こう, ぎょう, あん	い, ゆ, おこな	go, conduct	जाना, करना	6	行	Two walking-man halves = GO.	A crossroads viewed from above — choose where to GO.	こう / ぎょう / い / おこな — 行く (iku, to go). 銀行 (ginkou, bank), 行事 (gyouji, event).		
出	しゅつ, すい	で, だ	exit, go out, put out	निकलना, बाहर जाना, निकालना	5	凵	Stacked containers - sticking OUT.	A mountain on top of a mountain — climbing OUT of the valley.	しゅつ / すい / で / だ — 出る (deru, to leave). 出口 (deguchi, exit), 出発 (shuppatsu).		
入	にゅう	はい, い	enter, put in	प्रवेश करना, डालना	2	入	Two strokes meeting at a point - going INSIDE = ENTER.	Two strokes meeting at a point — entering through a doorway, GOING IN.	にゅう / い / はい — 入る (hairu, to enter). 入口 (iriguchi, entrance), 入学 (nyuugaku).		
立	りつ, りゅう	た	stand	खड़ा होना	5	立	A person planted on the ground = STAND.	A person standing tall on the ground — STAND UP straight.	りつ / りゅう / た — 立つ (tatsu, to stand). 国立 (kokuritsu, national).		
休	きゅう	やす	rest, holiday	आराम, छुट्टी	6	亻	A person (亻) leaning on a tree (木) = REST.	A person (亻) leaning against a tree (木) — REST against the trunk.	きゅう / やす — 休む (yasumu, to rest). 休日 (kyuujitsu, day off).		
言	げん, ごん	い, こと	say, word	कहना, शब्द	7	言	Words (言) leaving the mouth = SAY.	A mouth with words coming out in layered lines — SPEAKING multiple ideas.	げん / ごん / い / こと — 言う (iu, to say). 言葉 (kotoba, word), 言語 (gengo, language).		
買	ばい	か	buy	ख़रीदना	12	貝	Net (四) for shell-money (貝) = BUY.	A net (罒) over shell-money (貝) — netting up coins to BUY something.	ばい / か — 買う (kau, to buy). 売買 (baibai, buying-and-selling).		
高	こう	たか	high, tall, expensive	ऊँचा, लम्बा, महँगा	10	高	A tall pavilion silhouette = TALL / expensive.	A tall pagoda silhouette — TALL/HIGH/EXPENSIVE building.	こう / たか — 高い (takai, tall/expensive). 高校 (koukou, high school).		
安	あん	やす	cheap, safe, peaceful	सस्ता, सुरक्षित, शांत	6	宀	A woman (女) under a roof (宀) - peaceful and CHEAP.	A roof over a woman — woman safe at home: PEACEFUL, also CHEAP.	あん / やす — 安い (yasui, cheap). 安心 (anshin, peace of mind).		
新	しん	あたら, あら, にい-	new	नया	13	斤	A standing tree freshly cut by an axe = NEW.	Stand (立) + tree (木) + axe (斤) — chopping NEW wood with a fresh axe.	しん / あたら / あら / にい — 新しい (atarashii, new). 新聞 (shinbun, newspaper).		
古	こ	ふる	old	पुराना	5	口	Ten (十) generations of stories (口) = OLD.	Ten (十) + mouth (口) — ten generations of mouths talking: this is OLD news.	こ / ふる — 古い (furui, old). 中古 (chuuko, used/secondhand).		
長	ちょう	なが	long, leader	लम्बा, प्रमुख	8	長	Long flowing hair on an elder = LONG.	A figure with long flowing hair down the back — LONG and the HEAD/CHIEF.	ちょう / なが — 長い (nagai, long). 社長 (shachou, company president).		
白	はく, びゃく	しろ, しら-	white	सफ़ेद	5	白	A ray (丿) shining on the sun (日) = WHITE.	A simple kanji with a tail — a candle's WHITE flame casting light.	はく / びゃく / しろ / しら — 白い (shiroi, white). 白人 (hakujin, white person).		
名	めい, みょう	な	name	नाम	6	口	In the evening (夕), call out (口) the NAME.	Evening (夕) + mouth (口) — at evening you speak your NAME.	めい / みょう / な — 名前 (namae, name). 有名 (yuumei, famous).		
番	ばん		number, turn	क्रम, नंबर	12	田	A claw (釆) ordering rice paddies (田) by NUMBER.	Rice (米) + field (田) — taking your TURN in the rice field.	ばん — 番号 (bangou, number), 一番 (ichiban, #1, first). Always ばん.		
号	ごう		number	संख्या	5	口	Mouth (口) shouting a NUMBER / call sign.	Mouth (口) + bent breath — calling out a NUMBER/CALL-SIGN.	ごう — 番号 (bangou, number), 信号 (shingou, traffic signal). Always ごう.		
私		わたし	I, me	मैं, निजी	7	禾	My (厶) grain (禾) = PRIVATE / I.	Rice (禾) + 厶 private — your PRIVATE rice supply: I, ME.	し / わたし / わたくし — 私 (watashi, I). On し in 私生活 (shiseikatsu, private life).		
